id,time,variable,value
0,0, condition,38.14739492
0,1, condition,158.6739164
0,2, condition,97.80045857
0,3, condition,154.5631072
0,4, condition,261.8599431
0,5, condition,67.15879832
0,6, condition,72.51181249
0,7, condition,80.73603057
0,8, condition,137.3583754
0,9, condition,237.8711725
0,0, cumumulativeproduction,3891.322373
0,1, cumumulativeproduction,7563.606482
0,2, cumumulativeproduction,11285.99363
0,3, cumumulativeproduction,15021.38085
0,4, cumumulativeproduction,18116.32979
0,5, cumumulativeproduction,21950.73878
0,6, cumumulativeproduction,25814.08904
0,7, cumumulativeproduction,29655.57086
0,8, cumumulativeproduction,33388.05405
0,9, cumumulativeproduction,36485.68889
0,0, environment,18.07040487
0,1, environment,19.95192959
0,2, environment,22.58726323
0,3, environment,20.1415815
0,4, environment,21.4417533
0,5, environment,21.5741801
0,6, environment,20.1256665
0,7, environment,20.30568091
0,8, environment,19.45617585
0,9, environment,18.74020152
0,0, intensityofuse,5.272155016
0,1, intensityofuse,5.159304998
0,2, intensityofuse,4.327784433
0,3, intensityofuse,5.147566231
0,4, intensityofuse,4.669656652
0,5, intensityofuse,4.73270148
0,6, intensityofuse,4.580205839
0,7, intensityofuse,5.226542775
0,8, intensityofuse,5.631008484
0,9, intensityofuse,4.694820076
0,0, productionvolume,3891.322373
0,1, productionvolume,3672.284109
0,2, productionvolume,3722.387149
0,3, productionvolume,3735.387218
0,4, productionvolume,3094.948942
0,5, productionvolume,3834.408987
0,6, productionvolume,3863.350259
0,7, productionvolume,3841.481824
0,8, productionvolume,3732.483194
0,9, productionvolume,3097.634834
0,0, sensordata,54.33881361
0,1, sensordata,163.8579454
0,2, sensordata,100.2073494
0,3, sensordata,132.3063912
0,4, sensordata,269.0433921
0,5, sensordata,82.79550647
0,6, sensordata,68.32487056
0,7, sensordata,79.25908791
0,8, sensordata,133.7584032
0,9, sensordata,239.4829877
0,0, temperature,9.939042098
0,1, temperature,10.48370972
0,2, temperature,9.649007115
0,3, temperature,9.304824635
0,4, temperature,9.156813145
0,5, temperature,9.227236313
0,6, temperature,10.46652374
0,7, temperature,9.603896223
0,8, temperature,10.51656904
0,9, temperature,10.48216151
0,0, treatment,0
0,1, treatment,1
0,2, treatment,0
0,3, treatment,1
0,4, treatment,0
0,5, treatment,1
0,6, treatment,0
0,7, treatment,1
0,8, treatment,0
0,9, treatment,1
1,0, condition,92.98779142
1,1, condition,147.3749074
1,2, condition,90.07102076
1,3, condition,349.8373572
1,4, condition,207.8971626
1,5, condition,176.5700832
1,6, condition,-4.458144162
1,7, condition,110.2157182
1,8, condition,195.9069023
1,9, condition,234.8924092
1,0, cumumulativeproduction,3787.631177
1,1, cumumulativeproduction,7333.983547
1,2, cumumulativeproduction,11152.38418
1,3, cumumulativeproduction,13903.07466
1,4, cumumulativeproduction,17377.55174
1,5, cumumulativeproduction,20710.53618
1,6, cumumulativeproduction,24688.08153
1,7, cumumulativeproduction,28455.02974
1,8, cumumulativeproduction,31879.62173
1,9, cumumulativeproduction,35023.38694
1,0, environment,20.15632142
1,1, environment,21.49789532
1,2, environment,20.29960073
1,3, environment,21.10695824
1,4, environment,20.38769592
1,5, environment,17.04864532
1,6, environment,17.71476119
1,7, environment,20.4836862
1,8, environment,19.07336427
1,9, environment,19.07953485
1,0, intensityofuse,5.366664436
1,1, intensityofuse,4.70684428
1,2, intensityofuse,4.812601263
1,3, intensityofuse,4.769451092
1,4, intensityofuse,5.191806718
1,5, intensityofuse,4.548238626
1,6, intensityofuse,4.907808883
1,7, intensityofuse,4.937122295
1,8, intensityofuse,5.114968089
1,9, intensityofuse,5.930999836
1,0, productionvolume,3787.631177
1,1, productionvolume,3546.35237
1,2, productionvolume,3818.400638
1,3, productionvolume,2750.690472
1,4, productionvolume,3474.477081
