caseNumber,steps,temperature,intensityOfUse,humidity,sensorData,productionVolume,treatment
1,0,12.22972883,10.54788283,24.26109043,315.2896228,32.28236792,1
1,1,5.661523299,12.47853436,19.54300663,588.1031603,30.47826357,1
1,2,8.733014723,4.974413748,13.87451497,667.2986679,29.39631597,1
1,3,10.48949993,5.378056408,22.02137097,809.4307086,28.60292677,0
1,4,10.21271319,8.90557334,25.35744785,1117.079922,26.91163123,1
1,5,7.547156889,11.67496645,16.50378914,1383.855949,25.22951387,1
1,6,13.74470084,10.47847182,26.71178603,1670.118208,23.35642506,1
1,7,9.615006592,14.18138521,30.97862823,2095.103032,21.07367496,0
1,8,11.05039855,8.746418855,23.78370365,2364.450836,18.46815377,0
1,9,7.239841,9.733040334,19.6713921,2654.562477,16.60328896,1
1,10,1.373122845,12.20075613,17.96934202,2897.525336,15.09439281,1
1,11,7.179148358,8.172418362,16.09725615,3044.449518,13.72615374,1
1,12,13.51524669,7.750744898,18.71878504,3185.562835,12.78228627,0
1,13,5.339830216,8.222179285,16.79017788,3368.236347,11.48733606,0
1,14,7.060020554,8.531017567,26.65262052,3613.043922,10.0623991,0
2,0,3.540755822,12.03945841,16.46686709,265.0669461,32.44977685,1
2,1,8.223868379,11.50442451,24.78155034,622.1606648,30.47617713,1
2,2,6.694832063,13.36862297,18.50662143,915.7979617,28.46375186,0
2,3,-3.423648891,11.69376367,19.44398284,1161.912982,26.40763019,0
2,4,15.34867271,8.209311099,17.14816016,1460.423451,24.59221189,0
2,5,12.02453747,11.79218691,18.22339663,1791.927096,22.49216484,0
2,6,-0.80522063,10.48483974,13.92593571,1944.569996,20.87834303,1
2,7,11.63546742,9.61995515,22.43979092,2214.02153,19.61386803,0
2,8,4.945379257,12.67126061,21.86835122,2513.844166,17.57378101,1
2,9,10.29488599,6.338873263,17.71949209,2639.948241,16.37313444,1
2,10,11.93151073,13.46955069,19.86185833,3088.57361,14.47913414,0
2,11,13.08826467,9.116732531,25.06896587,3392.840982,11.72861803,0
2,12,11.80266401,8.274492337,21.01895603,3688.456768,9.729007501,1
2,13,6.60355103,6.826722193,16.46350119,3808.838855,8.605759298,1
2,14,3.017534322,6.439412662,13.93269406,3905.107991,7.82592113,1
3,0,14.44424156,13.50621717,20.34669072,424.4327794,31.9185574,0
3,1,4.717078184,6.423585279,15.65107885,637.8492406,29.79239327,1
3,2,9.840989608,8.674631515,23.67954248,863.5400511,28.54199446,0
3,3,6.410764037,6.218273754,17.8081798,1027.251566,27.03069461,0
3,4,14.88153402,10.50489365,17.69827107,1360.630026,25.37372803,1
3,5,7.383651222,11.43611876,21.01839215,1642.573337,23.53114006,0
3,6,11.33707748,7.151537613,23.22833774,1879.821626,21.59201679,1
3,7,9.285489112,2.294739468,20.7081959,1928.049774,20.88553935,0
3,8,12.51276787,6.752280726,21.13375512,2220.748977,19.50400416,1
3,9,15.11061861,10.01341572,24.96497733,2623.2154,17.37814201,0
3,10,11.12724498,12.46927899,23.60678782,3027.037037,14.49915854,0
3,11,12.2346609,6.858784157,18.42431923,3273.901854,12.33020369,0
3,12,14.08734579,10.26020106,15.23530088,3604.620753,10.40492464,0
3,13,18.98040969,8.490643086,23.39308612,3861.927341,8.444839686,0
3,14,5.747036043,8.198633285,24.48085748,4089.278693,6.829313221,0
4,0,8.577418124,6.129658644,12.746694,182.3104288,32.7256319,1
4,1,13.23076382,9.074121248,19.54923017,445.1835704,31.33541751,1
4,2,10.27249401,4.110405468,17.98555885,507.5060991,30.38689703,1
4,3,21.87596754,7.887987866,24.34228536,719.5567099,29.45288064,1
4,4,7.559908978,5.031065694,19.11924586,802.84475,28.52945493,0
4,5,15.71345243,12.42524742,31.12491626,1349.860684,26.15764855,0
4,6,5.062954877,8.044332854,21.11824238,1559.725599,23.63471239,0
4,7,13.53923816,7.239690092,18.63491702,1790.485752,22.16596216,0
