caseNumber,steps,temperature,intensityOfUse,humidity,sensorData,productionVolume,treatment
1002,0,4.193210405,9.908886663,20.71578638,82.78648975,9.796597842,0
1002,1,6.683701238,11.41849862,23.54990969,189.7201223,9.330465236,1
1002,2,13.23620534,8.572449916,19.28810362,229.3455447,9.144198224,1
1002,3,6.74100499,7.77413364,22.2472102,215.8107159,9.09689818,0
1002,4,-4.42593368,14.35959065,7.719130962,299.5409594,8.733807375,1
1002,5,11.14962712,9.238459913,18.04574666,320.6490954,8.602989149,1
1002,6,20.66837423,14.54176088,19.79689206,543.1071274,8.021416297,0
1002,7,6.816200172,6.743333242,15.17294242,617.5490419,7.148327341,1
1002,8,18.93222322,8.528946195,26.4948207,644.0326857,7.05884249,0
1002,9,10.80713376,9.400946999,22.5045283,701.1383653,6.694983744,1
1002,10,12.63429327,9.699058619,21.22237745,731.8318538,6.721950926,0
1002,11,7.359180828,9.158759356,15.03540471,782.9454365,6.278269916,1
1002,12,8.942607897,11.51758002,21.8846053,868.6537984,6.111045087,0
1002,13,14.36120614,11.09187031,23.39542388,998.5743025,5.412316357,0
1002,14,13.62833535,6.685671474,19.09591804,1046.431806,4.975524913,1
1002,15,6.460667831,9.714136067,14.91391023,1043.223463,5.052136847,1
1002,16,9.56124318,10.50701243,13.86606435,1045.690349,5.016855249,1
1002,17,12.88530217,10.0138888,18.64900006,1060.945718,4.955851981,0
1002,18,4.863538766,9.774629112,23.20421686,1116.7371,4.649545046,1
1002,19,7.179321027,11.77428358,19.12135535,1142.981786,4.642005376,1
1002,20,4.158081814,3.693683592,16.31768369,1143.188556,4.54561537,1
1002,21,13.70652088,8.434753213,22.24832642,1199.198166,4.375263968,0
1002,22,9.678059968,2.252495792,18.43931624,1237.80544,4.012407173,0
1002,23,11.25303558,8.562565558,23.00377891,1320.703596,3.713874565,0
1002,24,14.73352692,10.15699403,24.93109754,1412.553128,3.284528462,0
1002,25,16.56365289,3.767813962,18.925157,1468.925425,2.920355033,0
1002,26,-3.311521782,4.868278142,12.09386691,1507.780293,2.686386775,1
1002,27,14.90726372,10.49999038,25.35388952,1588.484767,2.486450655,0
1002,28,20.77327918,11.10446132,23.69673288,1718.30972,1.875375606,0
1002,29,10.72349163,16.71878187,23.95502291,1973.020076,0.930592081,1
1002,30,3.275919282,11.20508959,18.06065822,2034.723397,0.383398633,1
1002,31,7.160072682,-1.612587625,4.733448023,1997.03574,0.255310838,1
1002,32,4.968490827,9.367200341,19.00464121,2065.449111,0.094207136,0
1002,33,5.015710659,13.14835209,24.25526461,2198.820789,0,0
1002,34,17.43648826,14.72669305,26.58782447,2353.502984,0,1
1002,35,13.16967973,6.459528917,23.0998852,2307.355044,0,0
1002,36,9.150937288,6.099598196,18.98285568,2378.517185,0,0
1002,37,6.308039434,7.240612503,20.53742805,2446.236159,0,1
1002,38,8.149729516,10.13149273,28.37946236,2511.978022,0,0
1002,39,8.357165439,11.89306687,23.69326622,2757.123301,0,0
1002,40,6.64168433,3.690688088,16.03430579,2790.109262,0,0
1002,41,13.58305632,8.621253609,23.7714408,2875.785453,0,0
1002,42,8.488893715,8.018902532,18.72832042,2986.194762,0,1
