caseNumber,steps,temperature,intensityOfUse,humidity,productionVolume,treatment
0,0,9.144722736,6.928472141,17.0031219,1978.154911,0
0,1,9.286005961,7.854030919,14.97412386,1797.681268,1
0,2,13.78853369,8.55380126,20.94364225,1968.984293,0
0,3,8.615947407,9.660794969,17.6815662,1955.326336,0
0,4,12.36019801,8.251488108,23.4981478,1933.27628,0
0,5,8.403526931,7.772005953,20.39158126,1914.669476,0
0,6,12.45181849,1.791977157,15.7338827,1902.521841,0
0,7,21.20410562,13.11098316,15.76332626,1888.427888,0
0,8,6.561426027,7.136581927,24.30340747,1869.711608,0
0,9,6.552300302,8.84181411,22.84492974,1857.891742,0
0,10,7.791789374,10.43786566,16.10324424,1694.038386,1
0,11,11.56709952,3.790434237,19.31533565,1848.541246,0
0,12,16.06667638,10.93496362,18.81345827,1696.836606,1
0,13,7.184909556,7.155015395,25.96265168,1868.663596,0
0,14,14.60546064,2.871893975,10.24969015,1848.207771,0
0,15,15.67509088,4.219549589,14.71950183,1689.50776,1
0,16,7.475535904,1.966395835,20.20381657,1716.51027,1
0,17,9.46691213,11.56655275,21.11884709,1861.563006,0
0,18,7.896575279,10.42676799,23.07511323,1691.84742,1
0,19,8.189559614,10.64209479,16.96786833,1724.065211,1
0,20,23.67900308,7.531615714,20.4915472,1750.580796,1
0,21,5.286729192,7.123389019,16.65130139,1932.550683,0
0,22,11.58166461,7.723972598,15.60060463,1762.809846,1
0,23,18.21866857,4.417435624,18.45784063,1784.631295,1
0,24,7.262497833,9.530815892,20.24384975,1800,1
0,25,10.15193908,7.308861871,14.79656226,1800,1
0,26,13.1759456,10.53997398,16.22496463,1800,1
0,27,5.667389774,9.781548108,17.28685196,1800,1
0,28,6.220227578,11.11035994,27.86309837,1990.132771,0
0,29,14.04769101,8.23268409,17.01031607,1800,1
0,30,13.59733451,11.09391371,19.20300903,1984.510795,0
0,31,17.82565544,10.77935433,20.04415369,1800,1
0,32,5.928120157,6.674046916,20.12717494,1800,1
0,33,-1.016109237,12.47014969,29.29276808,1800,1
0,34,5.794880912,10.11025337,31.4461352,1800,1
0,35,12.20605753,12.28315509,13.19969485,1979.121638,0
0,36,6.518160747,12.59308915,23.30812398,1800,1
0,37,0.988811309,9.775248792,25.35986047,1800,1
0,38,13.09030454,8.618431134,16.7657274,1971.682023,0
0,39,4.525039926,10.40629765,20.53181742,1800,1
0,40,13.34962263,12.38612998,17.66404319,1800,1
0,41,12.88181099,6.760941912,18.3509436,1979.749582,0
0,42,7.194791901,10.19869281,28.11808491,1970.643474,0
0,43,5.71971181,5.895145213,13.03221166,1945.001375,0
0,44,10.44716186,12.78150779,23.64341618,1770.400619,1
0,45,10.41798247,8.865445858,22.12559949,1943.918226,0
0,46,14.09912495,8.575370959,10.87494456,1768.383177,1
0,47,4.22250978,8.630693563,29.09407303,1796.205534,1
0,48,14.10873233,9.04121238,12.16256629,1991.659815,0
0,49,11.79735009,9.196046493,17.5606274,1800,1
1,0,6.953358115,6.716759991,19.93689701,1800,1
1,1,14.08249378,12.66280031,22.16496153,1972.107662,0
1,2,17.22906102,9.720503295,25.01193305,1793.911063,1
1,3,12.00390426,6.735242792,20.48254301,1970.985087,0
1,4,6.335430672,11.91708743,21.37001782,1963.664148,0
1,5,7.452759656,11.06417148,19.65039211,1946.375847,0
1,6,3.672111975,14.3370114,21.36242174,1926.626383,0
1,7,13.56134529,8.012053656,24.657924,1898.864323,0
1,8,9.679424035,13.52672957,25.28081194,1880.399032,0
1,9,10.76855939,5.689966441,22.456947,1857.192423,0
1,10,8.010498267,8.790669564,24.39520001,1686.120485,1
1,11,17.59012588,4.179046491,11.38952783,1866.199961,0
1,12,12.97799528,8.343461779,21.49042882,1841.303529,0
1,13,1.123533845,13.68564111,26.80914845,1830.980549,0
1,14,9.798958709,11.86159299,31.19914442,1666.139071,1
1,15,9.366408248,9.204833108,14.45749279,1691.636309,1
1,16,3.220693935,14.33062655,23.29307468,1855.682761,0
1,17,19.31784468,4.017863516,13.55944604,1834.558129,0
1,18,9.215344356,9.633298962,20.15679992,1823.181072,0
1,19,6.001367326,8.649466744,22.50385972,1670.33841,1
1,20,10.94462145,2.990319879,14.2089153,1846.39059,0
1,21,8.769086721,2.742005232,9.554378842,1663.60967,1
1,22,17.74578398,9.339109952,23.14706575,1830.633101,0
1,23,8.918008011,14.79867818,22.12810642,1671.982999,1
1,24,7.020652095,12.19579487,25.78055948,1835.046381,0
1,25,-7.426462931,7.077453398,27.90661282,1825.7232,0
1,26,9.22253745,13.2261853,14.32289621,1812.481735,0
1,27,11.38188653,13.26818548,21.07725477,1801.488982,0
1,28,14.89690078,6.307851629,12.05264816,1628.1725,1
1,29,6.624942805,10.14831314,17.84222728,1789.171509,0
1,30,20.08192361,10.75995403,18.70496318,1770.853173,0
1,31,7.564498202,8.481543767,24.21551586,1754.693652,0
1,32,15.90575301,10.16164712,15.36579059,1597.76269,1
1,33,9.88722566,3.064057493,10.97333872,1749.842169,0
1,34,15.30155195,9.286741722,18.54616609,1729.432406,0
1,35,14.15043621,9.974733422,11.56031908,1578.102208,1
1,36,14.34067229,11.10342969,20.44420381,1734.052653,0
1,37,19.674117,11.93154244,17.20675745,1582.185375,1
1,38,13.63420222,8.451405581,17.87455241,1730.504961,0
1,39,1.370177822,10.27503317,24.31636251,1721.266081,0
1,40,9.534722218,7.172079445,26.13941852,1553.499955,1
1,41,11.97755566,9.547214812,26.34405925,1569.254667,1
1,42,14.30799897,15.27778552,29.27843333,1548.627576,1
1,43,17.21315538,13.6123384,21.63408261,1711.251583,0
1,44,12.4499725,6.529122459,15.00617248,1692.072814,0
1,45,0.893396102,9.651056374,33.2633752,1544.130529,1
1,46,8.522376414,11.57556141,18.5832163,1682.942042,0
1,47,20.21268121,5.984723619,14.41633994,1680.243018,0
1,48,1.99028178,8.770232314,25.77039219,1673.444661,0
1,49,9.335937211,2.74744428,13.97550082,1524.323636,1
2,0,11.96748369,10.90380026,16.90196301,1990.090503,0
2,1,2.847466115,10.35356609,25.19334389,1944.818071,0
2,2,6.936391297,9.888991337,20.28189652,1764.319674,1
2,3,18.22264826,13.54587843,16.15866972,1942.2466,0
2,4,1.114553911,10.77288821,14.9915242,1755.032007,1
2,5,7.928138292,11.0298326,18.66374985,1934.393417,0
2,6,12.75787041,7.727790652,24.66479247,1921.587375,0
2,7,12.32673317,6.52114045,17.86606657,1755.359581,1
2,8,16.80374663,12.16825167,21.9970581,1941.144784,0
2,9,7.233199952,9.407768942,23.68117456,1924.721815,0
2,10,14.18261609,5.809505503,15.72784715,1752.388927,1
2,11,4.212369955,7.046477774,15.34040669,1774.533224,1
