id,starttime,step1,step2,step3,step4,step5
0,20,1,0,1,1,1
1,20,1,1,0,1,1
2,20,0,1,0,1,1
3,20,0,0,0,1,0
4,20,0,0,0,0,0
5,20,0,0,0,0,1
6,20,0,0,1,1,0
7,20,1,0,0,0,1
8,20,0,1,1,1,1
9,20,1,0,1,1,0
10,20,1,1,0,1,0
11,20,0,0,1,0,0
12,20,0,0,0,0,1
13,20,1,1,1,1,1
14,20,1,1,1,0,0
15,20,0,0,1,0,1
16,20,0,1,1,0,1
17,20,0,1,1,1,0
18,20,0,1,1,0,0
19,20,0,0,1,1,1
20,20,0,1,1,1,1
21,20,0,1,0,0,0
22,20,1,1,1,0,1
23,20,0,1,1,1,1
24,20,1,1,0,0,1
25,20,0,0,0,0,1
26,20,1,0,1,1,1
27,20,0,1,0,1,1
28,20,0,0,0,0,1
29,20,0,1,1,1,1
30,20,1,1,0,0,1
31,20,0,1,0,0,1
32,20,1,0,1,0,1
33,20,0,1,1,0,0
34,20,1,1,0,0,1
35,20,1,1,0,1,0
36,20,0,1,0,1,0
37,20,0,1,0,1,0
38,20,1,1,1,0,0
39,20,0,1,1,0,1
40,20,1,0,0,0,0
41,20,0,1,1,1,1
42,20,0,1,1,0,0
43,20,1,1,0,0,1
44,20,1,0,0,0,1
45,20,1,1,0,1,0
46,20,0,0,1,1,1
47,20,1,0,1,1,0
48,20,0,0,0,0,0
49,20,0,1,1,0,0
50,20,0,1,1,0,1
51,20,1,0,0,1,0
52,20,0,0,0,0,0
53,20,0,1,0,1,0
54,20,1,1,0,1,1
55,20,1,0,0,1,1
56,20,1,0,0,1,0
57,20,1,1,0,1,0
58,20,0,1,0,1,1
59,20,0,1,1,1,1
60,20,1,0,1,1,1
61,20,1,1,1,1,0
62,20,1,1,0,1,1
63,20,0,0,0,0,1
64,20,0,1,1,0,0
65,20,1,1,1,0,0
66,20,1,1,1,1,1
67,20,1,0,1,1,1
68,20,1,0,0,0,1
69,20,0,1,1,1,0
70,20,0,0,1,0,0
71,20,0,1,0,0,0
72,20,0,1,1,1,1
73,20,1,0,0,0,1
74,20,0,1,0,1,1
75,20,0,1,0,1,0
76,20,0,1,1,0,0
77,20,0,1,0,1,1
78,20,1,0,1,1,0
79,20,1,1,1,0,0
80,20,1,1,1,0,0
81,20,1,0,0,0,0
82,20,0,1,1,0,1
83,20,0,0,0,0,0
84,20,0,1,0,0,1
85,20,0,1,0,1,0
86,20,1,0,1,1,1
87,20,1,1,1,1,1
88,20,1,1,1,1,1
89,20,1,1,1,1,0
90,20,0,0,0,1,0
91,20,0,0,1,1,0
92,20,0,1,1,0,1
93,20,1,1,1,0,1
94,20,0,1,1,0,0
95,20,0,0,1,1,0
96,20,1,0,1,0,0
97,20,1,0,0,1,1
98,20,0,0,1,1,0
99,20,1,1,0,0,1
