caseNumber,steps,temperature,intensityOfUse,humidity,sensorData,productionVolume,treatment
2,0,3.268805334,11.49559567,23.05871341,98.91650644,9.747566576,1
2,1,5.021869887,12.63448103,24.72358303,188.0241696,9.379657094,0
2,2,17.91449311,11.40378944,27.27325533,314.2317571,8.718250494,0
2,3,7.007754894,10.22230843,17.42238714,377.2951563,8.235233807,0
2,4,6.343570424,10.62500268,13.37320283,466.70378,7.846127517,0
2,5,10.02640779,8.499597824,22.98576773,504.0834147,7.522565805,0
2,6,9.958794094,13.64838202,24.27253667,629.0181516,7.108341991,0
2,7,10.29859472,12.0553885,21.33969166,750.5869881,6.479268611,1
2,8,7.514617548,11.5183093,25.194347,743.1566633,6.409038364,1
2,9,8.881584723,12.41632156,21.12898225,813.9598475,6.242203631,1
2,10,12.15727973,7.712755229,23.23833534,805.4097028,6.079957361,0
2,11,13.36494143,3.683976993,15.1200052,845.8813901,5.785930179,1
2,12,3.974416496,6.332440519,18.1095702,828.0299706,5.88721232,1
2,13,5.04002896,11.93176826,15.42848937,889.3372217,5.760188576,1
2,14,7.405813053,10.49766671,28.07788519,913.6128782,5.570332876,1
2,15,10.12286167,16.9783731,27.37562203,990.4565963,5.322286026,1
2,16,6.219700083,7.539952792,17.86178116,936.7780798,5.327012214,1
2,17,10.40122605,6.342701996,22.72563798,922.0279689,5.422510152,1
2,18,10.15341752,11.15255857,23.87027071,997.0538105,5.26428704,1
2,19,19.69791516,11.19898501,31.47584769,1017.741778,5.059094138,0
2,20,12.74346261,18.56723518,24.4829605,1182.697042,4.384513509,0
2,21,11.63546742,9.61995515,22.43979092,1271.872339,3.735976173,0
2,22,4.945379257,12.67126061,21.86835122,1337.008633,3.342175335,1
2,23,10.29488599,6.338873263,17.71949209,1322.029497,3.381923982,1
2,24,11.93151073,13.46955069,19.86185833,1431.497972,3.157451432,0
2,25,13.08826467,9.116732531,25.06896587,1513.057975,2.48553789,0
2,26,11.80266401,8.274492337,21.01895603,1608.442604,2.033977873,1
2,27,6.60355103,6.826722193,16.46350119,1588.396588,2.043381424,1
2,28,3.017534322,6.439412662,13.93269406,1568.750215,2.100525884,1
2,29,16.27169858,10.27445703,25.74196646,1584.497348,2.089238537,0
2,30,14.24619441,14.25500462,28.99105455,1698.224948,1.622542496,0
2,31,11.84941403,5.466171857,14.83183419,1741.390747,1.222152921,1
2,32,9.318770089,11.61450928,14.64574654,1765.169186,1.230849454,1
2,33,11.69118801,12.01435215,23.73513847,1802.634897,1.067022344,0
2,34,6.709991137,14.28791151,21.60115366,1909.120938,0.527655412,1
2,35,13.10041007,8.124104144,14.30723323,1863.938455,0.575629449,0
2,36,7.376406393,8.352288536,23.63035821,1956.827987,0.249461996,0
2,37,9.594058938,2.387077797,21.03774478,1986.075941,0,0
2,38,12.51276787,6.752280726,21.13375512,2094.944607,0,1
2,39,15.11061861,10.01341572,24.96497733,2210.706137,0,0
2,40,11.12724498,12.46927899,23.60678782,2321.037467,0,0
2,41,12.2346609,6.858784157,18.42431923,2400.054721,0,0
2,42,14.08734579,10.26020106,15.23530088,2502.170281,0,0
2,43,18.98040969,8.490643086,23.39308612,2553.952835,0,0
2,44,5.747036043,8.198633285,24.48085748,2611.536505,0,0
2,45,15.1398914,8.65456788,13.21534903,2669.809099,0,0
