caseNumber,steps,temperature,intensityOfUse,humidity,degradationState,productionVolume,treatment
10001,0,6.464128537,9.777713429,23.57303952,0.648286773,999.9351713,1
10001,1,17.1809266,10.08558923,21.89295372,0,1000,1
10001,2,11.15569564,12.61484784,29.88245815,160.7695413,1967.846092,0
10001,3,0.836927107,10.77268664,17.22842677,400.6530658,1919.869387,0
10001,4,10.54314829,13.74136035,26.62716999,419.4546609,1916.109068,0
10001,5,17.14040287,14.02443397,31.8386851,684.0845333,1863.183093,0
10001,6,9.532952978,4.448253983,12.42266954,703.3728166,1859.325437,0
10001,7,-0.425545976,3.020671887,10.3971941,831.974443,1833.605111,0
10001,8,2.58094329,7.065093322,12.30640423,983.5539665,1803.289207,0
10001,9,7.550723163,5.87303764,17.25105791,1018.724358,898.1275642,1
10001,10,11.17147874,7.595048916,22.5057841,1056.270133,894.3729867,1
10001,11,1.785348268,9.021544206,14.25100977,1192.681378,1761.463724,0
10001,12,7.520901319,10.36351024,21.6759955,1211.571968,878.8428032,1
10001,13,12.95278939,8.777394423,19.84231989,1343.1665,865.68335,1
10001,14,4.221694404,10.16370689,20.22555589,1341.645163,865.8354837,1
10001,15,4.730030797,8.332403189,27.05138715,1339.0003,866.09997,1
10001,16,14.42236043,7.921226843,23.52877107,1366.238285,1726.752343,0
10001,17,7.103173605,13.40199906,16.1474312,1402.694669,859.7305331,1
10001,18,14.81669569,11.9569312,25.34526717,1537.707229,846.2292771,1
10001,19,9.921443522,10.38704446,23.94764987,1929.574673,807.0425327,1
10001,20,10.03661091,9.649101159,25.53626748,2009.443734,1598.111253,0
10001,21,4.575800228,8.656774647,18.91152727,2090.111385,1581.977723,0
10001,22,9.43425615,8.038619045,21.27715379,2106.923712,1578.615258,0
10001,23,6.247393291,9.705692726,22.60187994,2095.995294,790.4004706,1
10001,24,15.15217448,1.194370735,14.77792022,2121.241515,787.8758485,1
10001,25,11.80168326,7.965879782,23.83026757,2228.300622,1554.339876,0
10001,26,8.090135239,6.327548063,16.26376793,2347.198913,765.2801087,1
10001,27,3.050049126,8.415112878,23.98967033,2638.361323,1472.327735,0
10001,28,10.22243753,13.73661002,27.52642049,2736.11548,726.388452,1
10001,29,18.60332586,6.105329057,13.80758637,2812.996554,718.7003446,1
10001,30,7.249082157,8.715720623,19.29550553,2817.144134,718.2855866,1
10001,31,10.16023591,6.461858904,10.75040471,2852.428538,1429.514292,0
10001,32,4.983275383,12.18544982,24.8515743,2908.714797,1418.257041,0
10001,33,6.858203514,8.237421261,22.14570628,2894.668337,710.5331663,1
10001,34,8.617332378,8.501382841,21.02040118,2997.839882,1400.432024,0
10001,35,15.71458323,5.086451819,17.32183801,3068.912485,1386.217503,0
10001,36,11.84698679,6.160730458,23.10824722,3136.248185,1372.750363,0
10001,37,4.107095349,2.597815931,7.676520976,3287.301625,671.2698375,1
10001,38,10.04278142,8.55536354,16.95924963,3520.513759,647.9486241,1
10001,39,11.42520425,10.4013125,18.75963067,3547.626232,1290.474754,0
10001,40,15.02997472,10.78110642,25.47509093,3608.03509,639.196491,1
10001,41,14.86608582,4.310093985,18.77697451,3617.277683,1276.544463,0
10001,42,16.22849276,9.358826976,22.79240053,3696.358074,1260.728385,0
10001,43,6.608008148,10.27079077,18.00629905,3703.197648,629.6802352,1
