caseNumber,steps,temperature,intensityOfUse,humidity,degradationState,degradationAfterTreatment,productionVolume,treatment,cumulativeProduction
1,0,12.229728833731206,10.54788283245275,24.261090426832556,101.47642838480428,-20.709044183754372,989.8523571615195,1,989.8523571615195
1,1,16.727169431482352,10.411265626693494,28.719242713183007,127.10955472956287,,1974.5780890540875,0,2964.430446215607
1,2,7.563402978572622,12.92025349254031,15.78882868555706,143.4481608333967,-21.391725643228426,985.6551839166603,1,3950.0856301322674
1,3,5.357169848647646,11.2968464021566,25.685323311832782,159.63124223798323,,1968.0737515524033,0,5918.159381684671
1,4,9.924324207688585,6.95416193412221,19.11509598419731,185.78014202271083,-21.686645329341815,981.4219857977289,1,6899.581367482399
1,5,6.1869590208636405,6.252592186540394,20.140174338783854,199.8772388454585,-21.340099245555876,980.0122761154543,1,7879.593643597854
1,6,6.415666562866585,9.664591579195699,24.331030381998453,356.59094278527186,-21.306018503573853,964.340905721473,1,8843.934549319327
1,7,15.024160680062526,14.319927169072592,32.05559326446756,445.7413138620813,,1910.8517372275837,0,10754.78628654691
1,8,13.649088038425651,8.77652358954769,25.406294018631883,430.9377327422755,-19.332704333058018,956.9062267257725,1,11711.692513272683
1,9,15.230464711609455,7.33437181454037,23.135643715435375,472.8636362182496,-19.241679585018915,952.7136363781751,1,12664.406149650858
1,10,15.649917694734715,12.949965699176474,25.282890103244426,475.71375061852547,,1904.857249876295,0,14569.263399527154
1,11,12.350426302008316,8.8454033158678,19.417039221731088,508.42557551456184,,1898.3148848970877,0,16467.578284424242
1,12,1.373122844897697,12.200756128078183,17.96934201646643,522.3131421316556,-20.116016554461453,947.7686857868345,1,17415.346970211074
1,13,7.179148357753116,8.172418362479192,16.097256148351544,506.7375348627028,-20.87742487935884,949.3262465137298,1,18364.673216724805
1,14,6.341761525588385,6.0143604210317365,9.82156723119837,659.8647422275307,-19.8724599153511,934.0135257772471,1,19298.686742502054
1,15,3.9744164959080273,6.332440518961697,18.10957020195101,691.7817308104428,-17.830046555161857,930.8218269189558,1,20229.508569421007
1,16,2.8205175102378464,3.4954851059376963,11.032428959773602,711.7648209832631,-22.672684119271935,928.8235179016738,1,21158.33208732268
1,17,17.850414866665982,8.093323327080926,18.829014234181585,1018.4914524725697,,1796.301709505486,0,22954.63379682817
1,18,7.013531951252788,8.263214026543077,17.191826434968007,1129.8238178448478,-17.87058975981381,887.0176182155152,1,23841.65141504368
1,19,11.640560283807655,16.491157199187878,30.36739012429266,1209.5327068229456,-17.788708858786322,879.0467293177055,1,24720.698144361388
1,20,12.865911150935585,8.827117509687946,18.61080673598649,1312.2489365257045,,1737.5502126948593,0,26458.248357056247
1,21,6.694832062974392,13.368622968447092,18.506621427742907,1344.0700136483931,,1731.1859972703214,0,28189.43435432657
1,22,17.35717071493212,13.841786558807943,16.270945043367707,1379.4180752818238,,1724.1163849436352,0,29913.550739270206
1,23,16.40380899315174,13.022964089640318,30.54561394254384,1546.0450106851245,-19.51822276225903,845.3954989314876,1,30758.946238201694
